Afghanistan,boom box
Afghanistan,paper
Andorra,buckel
Andorra,plate
Angola,floor
Angola,lip gloss
Angola,thermometer
Angola,wagon
Antigua and Barbuda,brocolli
Antigua and Barbuda,pillow
Argentina,boom box
Argentina,buckel
Argentina,cat
Argentina,checkbook
Argentina,door
Argentina,keyboard
Argentina,keys
Argentina,money
Argentina,paper
Argentina,plastic fork
Argentina,rubber duck
Argentina,shampoo
Argentina,stockings
Argentina,twister
Argentina,twister
Armenia,glow stick
Armenia,toe ring
Australia,bow
Australia,candle
Australia,canvas
Australia,cat
Australia,checkbook
Australia,clothes
Australia,cup
Australia,fake flowers
Australia,fork
Australia,lamp
Australia,lotion
Australia,pencil
Australia,purse
Australia,ring
Australia,rubber duck
Australia,seat belt
Australia,shovel
Australia,sponge
Australia,table
Australia,tire swing
Australia,vase
Australia,wallet
Austria,apple
Austria,bow
Austria,floor
Austria,mouse pad
Austria,pencil
Austria,thermometer
Austria,white out
Azerbaijan,camera
Azerbaijan,pool stick
Bahamas,candle
Bahamas,purse
Bangladesh,bottle cap
Bangladesh,clothes
Bangladesh,pencil
Bangladesh,shovel
Barbados,bottle cap
Barbados,pencil
Belgium,buckel
Belgium,leg warmers
Belgium,plastic fork
Belgium,vase
Belize,flag
Belize,television
Bhutan,clamp
Bhutan,shirt
Bolivia,car
Bolivia,chalk
Bolivia,charger
Bolivia,rubber band
Bolivia,sand paper
Bolivia,scotch tape
Bosnia,buckel
Bosnia,plastic fork
Botswana,coasters
Botswana,helmet
Botswana,sidewalk
Botswana,towel
Brazil,air freshener
Brazil,apple
Brazil,blouse
Brazil,bracelet
Brazil,bread
Brazil,button
Brazil,camera
Brazil,chair
Brazil,chalk
Brazil,clothes
Brazil,controller
Brazil,cookie jar
Brazil,couch
Brazil,cup
Brazil,cup
Brazil,doll
Brazil,drawer
Brazil,flowers
Brazil,glow stick
Brazil,grid paper
Brazil,hair brush
Brazil,hair tie
Brazil,keyboard
Brazil,lotion
Brazil,milk
Brazil,model car
Brazil,mouse pad
Brazil,mouse pad
Brazil,packing peanuts
Brazil,phone
Brazil,picture frame
Brazil,plate
Brazil,puddle
Brazil,sand paper
Brazil,sandal
Brazil,shovel
Brazil,soda can
Brazil,sofa
Brazil,soy sauce packet
Brazil,speakers
Brazil,speakers
Brazil,sticky note
Brazil,stockings
Brazil,thermostat
Brazil,toilet
Brazil,tomato
Brazil,tomato
Brazil,tooth picks
Brazil,truck
Brazil,wallet
Brazil,washing machine
Brazil,watch
Brazil,white out
Brazil,window
Bulgaria,charger
Bulgaria,screw
Burkina Faso,bottle
Burkina Faso,computer
Burkina Faso,pen
Burkina Faso,sketch pad
Cambodia,coasters
Cambodia,sidewalk
Canada,apple
Canada,bookmark
Canada,bow
Canada,bowl
Canada,box
Canada,bracelet
Canada,CD
Canada,clock
Canada,cup
Canada,face wash
Canada,floor
Canada,fork
Canada,fork
Canada,hanger
Canada,lamp
Canada,mirror
Canada,mp3 player
Canada,paper
Canada,perfume
Canada,perfume
Canada,perfume
Canada,phone
Canada,rug
Canada,shoe lace
Canada,sponge
Canada,sun glasses
Canada,thermometer
Canada,thread
Canada,tire swing
Canada,toothbrush
Canada,vase
Canada,watch
Canada,zipper
Chad,greeting card
Chad,toilet
Chile,balloon
Chile,buckel
Chile,clock
Chile,fridge
Chile,hair tie
Chile,ice cube tray
Chile,knife
Chile,lamp
Chile,monitor
Chile,nail clippers
Chile,plastic fork
Chile,shoes
Chile,tissue box
Chile,tooth picks
Chile,towel
Chile,twister
Chile,USB drive
China,apple
China,blanket
China,blouse
China,bowl
China,camera
China,candle
China,candle
China,chapter book
China,clamp
China,computer
China,fork
China,fridge
China,helmet
China,mop
China,mouse pad
China,outlet
China,packing peanuts
China,perfume
China,puddle
China,purse
China,purse
China,sandal
China,shirt
China,sidewalk
China,tire swing
China,tire swing
China,toothpaste
China,window
Colombia,controller
Colombia,soda can
Costa Rica,beef
Costa Rica,charger
Costa Rica,glass
Costa Rica,newspaper
Costa Rica,screw
Costa Rica,tissue box
Croatia,candy wrapper
Croatia,remote
Cuba,clamp
Cuba,mirror
Cuba,sharpie
Cuba,watch
